total_fee,travel_km,travel_minute,order_time,order_start_lg,order_start_lt,order_end_lg,order_end_lt
1582,5.81,11,1588521603,118.854365,32.11647,118.808609,32.103661
9465,24.39,29,1588521603,119.336474,26.090763,119.182733,26.079005
3983,10.73,15,1588521603,113.159151,23.041134,112.986686,23.090208
1446,3.6,9,1588521605,108.933862,34.197686,108.928801,34.225654
1168,1.8,4,1588521606,120.368528,36.09327,120.355718,36.089047
3587,10.4,21,1588521607,102.85203,24.850554,102.831991,24.835851
2145,6.13,11,1588521608,117.204875,39.111443,117.144206,39.098567
3165,6.05,15,1588521608,121.450849,31.202933,121.413189,31.214286
805,1.53,3,1588521610,113.752914,34.741378,113.75941,34.75317
1803,4.55,10,1588521610,116.553896,39.762833,116.51408,39.776795
2382,7.78,13,1588521610,118.816552,32.028692,118.817414,32.089614
3052,10.97,21,1588521612,112.524252,37.769057,112.578931,37.788342
1908,4.84,8,1588521613,121.293013,30.290421,121.2845,30.322813
1309,4.26,8,1588521613,113.682216,34.740472,113.72153,34.74443
3229,9.35,19,1588521614,108.946051,34.190823,108.991971,34.244694
5324,12.08,21,1588521615,121.44383,31.23626,121.434708,31.185113
2187,6.61,11,1588521615,120.378124,36.068449,120.36116,36.106924
3116,9.4,12,1588521617,103.827618,30.854085,103.905355,30.808486
1395,2.81,6,1588521619,113.038765,28.195815,113.024007,28.20828
1930,4.6,13,1588521619,120.38541,36.099703,120.360478,36.097244
1245,2.01,3,1588521619,116.361721,40.074486,116.347406,40.060366
2378,7.05,13,1588521620,117.096718,39.079498,117.143259,39.091253
4363,14.87,24,1588521620,118.797556,32.08464,118.904512,32.149617
1414,1.86,6,1588521620,114.415803,30.501514,114.423268,30.488519
852,1.75,3,1588521621,117.304464,31.832153,117.292536,31.829974
2191,8.81,19,1588521622,113.624818,34.72256,113.709724,34.722005
1459,3.15,8,1588521623,117.2124,39.143202,117.206535,39.134409
1924,4.86,11,1588521624,120.37939,36.098728,120.34024,36.081782
3815,12.94,23,1588521627,117.182275,39.141483,117.23056,39.067848
796,1.72,5,1588521628,111.679512,29.055681,111.669937,29.059111
2965,9.4,19,1588521628,120.539287,31.358775,120.620854,31.368277
2517,8.34,14,1588521629,118.788661,32.035643,118.796603,32.085979
2266,3.39,11,1588521630,120.01057,30.283456,120.029113,30.285714
2504,8.36,13,1588521630,118.778178,32.023284,118.725516,31.981589
1038,0.37,1,1588521630,116.460107,39.865233,116.456149,39.8667
6160,16.22,29,1588521630,120.170593,30.24682,120.05097,30.240076
4276,12.32,23,1588521632,116.352737,40.014874,116.37421,40.086315
